Date,HUR1,HUR2,HUR3,HUR4,MTB1,MTB2,MTB3,MTB4,WAP1,WAP2,WAP3,WAP4,STV1,STV2,STV3,STV4,SNO1,SNO2,SNO3,SNO4,LVN1,LVN2,LVN3,LVN4,MIS1,MIS2,MIS3,MIS4,CMT1,CMT2,CMT3,CMT4,PAR1,PAR2,PAR3,PAR4,WHP1,WHP2,WHP3,WHP4,TML1,TML2,TML3,TML4,MHM1,MHM2,MHM3,MHM4
1/19/2019,0.74,0.02,0.51,0.53,1.30,0.50,1.47,1.97,0.47,0.15,0.52,0.67,0.94,0.09,0.40,0.49,1.09,0.16,0.74,0.90,0.58,nan,0.30,nan,0.53,0.01,0.86,0.87,0.59,0.12,0.72,0.84,1.65,0.19,1.00,1.19,1.17,0.13,0.51,0.64,3.29,0.46,1.65,2.11,2.69,0.47,1.85,2.32
1/20/2019,0.32,0.06,0.00,0.06,0.41,0.10,0.05,0.15,0.37,0.11,0.15,0.26,0.32,0.09,0.14,0.23,0.82,0.18,0.07,0.25,0.03,0.01,0.00,0.01,0.15,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.08,0.06,0.03,0.09,0.30,0.07,0.04,0.11,0.52,0.05,0.14,0.19,0.42,0.06,0.15,0.21
1/21/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.12,0.00,0.12,0.10,0.04,0.00,0.04,0.31,0.20,0.06,0.26,0.29,0.22,0.03,0.25,0.44,0.27,0.02,0.29,0.35,0.32,0.03,0.35
1/22/2019,0.00,0.00,0.01,0.01,0.02,0.00,0.03,0.03,0.02,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/23/2019,0.43,0.01,0.30,0.31,1.20,0.58,1.10,1.68,0.65,0.18,1.37,1.55,1.85,0.65,1.84,2.49,2.86,0.77,1.37,2.14,0.51,0.10,0.67,0.77,0.30,0.14,0.71,0.85,0.54,0.26,0.37,0.63,2.67,1.18,1.62,2.80,0.86,0.70,0.49,1.19,2.02,0.54,0.96,1.50,1.61,0.47,1.10,1.57
1/24/2019,0.08,0.01,0.00,0.01,0.10,0.14,0.00,0.14,0.16,0.14,0.00,0.14,0.66,0.35,0.00,0.35,0.78,0.36,0.01,0.37,0.07,0.01,0.00,0.01,0.06,0.13,0.00,0.13,0.33,0.00,0.00,0.00,1.73,0.72,0.03,0.75,0.59,0.29,0.01,0.30,0.53,0.71,0.01,0.72,0.37,0.75,0.00,0.75
1/25/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/26/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/27/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/28/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
